country,clf,feat_set,inc,auc_score,N,N_p,N_n
AL,CART,inc-only,3,0.7173719688293582,1590,71,1519
AL,CART,inc-only,4,0.7506077901707913,1590,71,1519
AL,CART,inc-only,5,0.7378650475526565,1590,71,1519
AL,CART,inc-only,6,0.7231252800876363,1590,71,1519
AL,CART,inc-only,7,0.7802790295274611,1590,71,1519
AL,CART,inc-only,8,0.8102960215107305,1590,71,1519
AL,CART,appended,1,0.7184752029079321,1590,71,1519
AL,CART,appended,2,0.7016895508639147,1590,71,1519
AL,CART,appended,3,0.6914943609022556,1590,71,1519
AL,CART,appended,4,0.7548495618184534,1590,71,1519
AL,CART,appended,5,0.7645054274759747,1590,71,1519
AL,CART,appended,6,0.7746007195140169,1590,71,1519
AL,CART,appended,7,0.7676648160135437,1590,71,1519
AL,CART,appended,8,0.7847834611362845,1590,71,1519
AL,RF,inc-only,1,0.8494354678085944,1590,71,1519
AL,RF,inc-only,2,0.8775335482746601,1590,71,1519
AL,RF,inc-only,3,0.8787961210974456,1590,71,1519
AL,RF,inc-only,4,0.9570423368022706,1590,71,1519
AL,RF,inc-only,5,0.9595827316635961,1590,71,1519
AL,RF,inc-only,6,0.9353588856246576,1590,71,1519
AL,RF,inc-only,7,0.9271541851317034,1590,71,1519
AL,RF,inc-only,8,0.9772624856844097,1590,71,1519
AL,RF,appended,1,0.8613142956729573,1590,71,1519
AL,RF,appended,2,0.9240987402280536,1590,71,1519
AL,RF,appended,3,0.938944007369417,1590,71,1519
AL,RF,appended,4,0.9611477991335956,1590,71,1519
AL,RF,appended,5,0.9634065503161878,1590,71,1519
AL,RF,appended,6,0.9760276104167704,1590,71,1519
AL,RF,appended,7,0.9776903973509934,1590,71,1519
AL,RF,appended,8,0.9805161703928695,1590,71,1519
AL,XGB,inc-only,1,0.827002004182642,1590,71,1519
AL,XGB,inc-only,2,0.8793871060100582,1590,71,1519
AL,XGB,inc-only,3,0.8666512099785888,1590,71,1519
AL,XGB,inc-only,4,0.9183080839516008,1590,71,1519
AL,XGB,inc-only,5,0.9441925384653687,1590,71,1519
AL,XGB,inc-only,6,0.9214207912164517,1590,71,1519
AL,XGB,inc-only,7,0.9128249016581188,1590,71,1519
AL,XGB,inc-only,8,0.9708827117462531,1590,71,1519
AL,XGB,appended,1,0.8381130807150327,1590,71,1519
AL,XGB,appended,2,0.8907147836478614,1590,71,1519
AL,XGB,appended,3,0.903150674699995,1590,71,1519
AL,XGB,appended,4,0.9462754568540557,1590,71,1519
AL,XGB,appended,5,0.9529206916297366,1590,71,1519
AL,XGB,appended,6,0.9502197131902604,1590,71,1519
AL,XGB,appended,7,0.959904521236867,1590,71,1519
AL,XGB,appended,8,0.9704355051536124,1590,71,1519
